Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
ACS-55,Handcrafted Premium Burberry Silk Saree with Lace Border,"<p> Introducing our exquisite premium Burberry Silk Saree, adorned with stunning handwork border lace, and paired with a matching blouse featuring intricate handwork and front side work with sleeves (unstitched). Crafted with utmost care, this saree is the epitome of elegance and luxury.

Made from high-quality Burberry Silk, our saree not only looks beautiful but feels incredibly comfortable. The handwork border lace adds a touch of sophistication, elevating your style to new heights. The blouse, also embellished with handwork, complements the saree perfectly.

With its unique design and impeccable craftsmanship, this saree is perfect for special occasions, weddings, or festive celebrations. The premium Burberry Silk fabric ensures durability, ensuring that this saree will be a timeless addition to your wardrobe.

Indulge in the allure of our premium Burberry Silk Saree, and make a statement that exudes grace and charm. Embrace the beauty of tradition with a touch of contemporary elegance. Own this masterpiece and be the center of attention wherever you go. </p>",Bandisha,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,"","bt_3000_4000,trending,wedding-gift",true,Color,Black,"",Packaging Options,Basic (+ Rs. 0),"","","","",ACS-55-Black,600,Shopify,100,deny,manual,3213.0,3213.0,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13252176.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ACS-55,"","","","","","bt_3000_4000,trending,wedding-gift",true,"",Black,"","",Premium (+ Rs.20),"","","","",ACS-55-Black,600,Shopify,100,deny,manual,3233.0,3233.0,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13252176.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ACS-55,"","","","","","bt_3000_4000,trending,wedding-gift",true,"",Cream,"","",Basic (+ Rs. 0),"","","","",ACS-55-Cream,600,Shopify,100,deny,manual,3213.0,3213.0,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13252208.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ACS-55,"","","","","","bt_3000_4000,trending,wedding-gift",true,"",Cream,"","",Premium (+ Rs.20),"","","","",ACS-55-Cream,600,Shopify,100,deny,manual,3233.0,3233.0,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13252208.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ACS-55,"","","","","","bt_3000_4000,trending,wedding-gift",true,"",Pink,"","",Basic (+ Rs. 0),"","","","",ACS-55-Pink,600,Shopify,100,deny,manual,3213.0,3213.0,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13252202.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ACS-55,"","","","","","bt_3000_4000,trending,wedding-gift",true,"",Pink,"","",Premium (+ Rs.20),"","","","",ACS-55-Pink,600,Shopify,100,deny,manual,3233.0,3233.0,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13252202.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ACS-55,"","","","","","bt_3000_4000,trending,wedding-gift",true,"",Red,"","",Basic (+ Rs. 0),"","","","",ACS-55-Red,600,Shopify,100,deny,manual,3213.0,3213.0,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13252226.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ACS-55,"","","","","","bt_3000_4000,trending,wedding-gift",true,"",Red,"","",Premium (+ Rs.20),"","","","",ACS-55-Red,600,Shopify,100,deny,manual,3233.0,3233.0,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13252226.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-01,Hand-Dyed Shibori Saree with Silk Embroidered Blouse,"<p> Introducing our stunning Pure Viscose Georgette Shibori Hand Dyeing Saree, a perfect blend of elegance and style. This beautiful saree is crafted with the utmost care and precision, ensuring a comfortable yet luxurious feel. The intricate shibori hand dyeing pattern gives it a unique and eye-catching look that is sure to turn heads. The saree is paired with a silk blouse that boasts heavy embroidery sequence and jari work, making it a perfect match for the saree. The blouse is available in sizes ranging from 38 to 42, ensuring a comfortable fit for all body types. Be the center of attention at any occasion with our Pure Viscose Georgette Shibori Hand Dyeing Saree. Get yours today and experience the perfect blend of comfort, elegance, and style. </p>",Bandisha,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,"","bt_1000_2000,trending,wedding-gift",true,Color,White,"",Packaging Options,Basic (+ Rs. 0),"","","","",AEC-01-White,600,Shopify,100,deny,manual,1945.125,1945.125,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13337322.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-01,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",White,"","",Premium (+ Rs.20),"","","","",AEC-01-White,600,Shopify,100,deny,manual,1965.125,1965.125,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13337322.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
